set_number,set_name,year_released,number_of_parts,theme_name
9633-1,Advanced Air Power Set,1999,217,Educational and Dacta
9636-1,Solar Add-on,2000,3,Educational and Dacta
9647-1,Studios Camera and Software,2000,2,Educational and Dacta
9650-1,Scenery Resource Set,2002,721,Educational and Dacta
9665-1,Mechanical Engineering Set,2001,322,Educational and Dacta
9684-1,Renewable Energy Set II,2003,732,Educational and Dacta
9685-1,Green Car Set,2003,47,Educational and Dacta
9686-1,Simple and Motorized Mechanisms Base Set,2009,409,Educational and Dacta
9689-1,Simple Machines Set,2009,204,Educational and Dacta
9691-1,LEC Set,2008,1213,Educational and Dacta
9701-1,Control Lab Building Set,1995,576,Educational and Dacta
9702-1,Control System Building Set,1993,230,Educational and Dacta
9704-1,Control Lab Software - Mac,1997,0,Educational and Dacta
9707-1,Intelligent House Building Set,1996,164,Educational and Dacta
9708-1,Intelligent House Activity Pack - PC,1997,0,Educational and Dacta
9723-1,Cities and Transportation,2000,394,Educational and Dacta
9785-1,Robo Technology Set [Serial Cable],2003,220,Educational and Dacta
9786-1,Robo Technology Set [USB Cable],2003,221,Educational and Dacta
9848-1,Lamps and Fittings,1997,9,Educational and Dacta
9865-1,Optosensor,1992,2,Educational and Dacta
9866-1,Light and Transparent Bricks,1992,12,Educational and Dacta
9897-1,9-Volt Connecting Leads,1998,3,Educational and Dacta
9912-1,LEGO Solar Cell,1998,1,Educational and Dacta
991464-1,LEGO Smart Kit,2009,20,Educational and Dacta
9377-1,Lego Dacta Adventurers Set,1998,0,Adventurers
1049-1,Ships,1985,238,Boat
1045-2,Educational LEGO Building Set,1976,683,Building Set with People
1075-1,LEGO People Supplementary Set,1980,256,Building Set with People
9376-1,Castle Set,1997,337,Castle
700K-1,Kindergarten LEGO Set,1960,476,Classic
700L-1,Empty Kindergarten LEGO Box,1961,1,Classic
90-2,Educational Box - Empty,1965,1,Classic
9302-1,Creator Community Builders,2004,1690,Creator
9303-1,Creator Community Builders,2004,1190,Creator
9304-1,Fun Park Set,2001,598,Creator
9306-1,Creator Bulk,2003,610,Creator
9310-1,Dinosaurs Set,2001,0,Dinosaurs
1000-1,Mosaic Set,1985,203,Duplo
1011-1,Number/Symbol Blocks,1976,100,Duplo
1013-1,Numbers (6 Symbols),1985,0,Duplo
1014-2,Mosaic Set - Domestic Animals,1985,80,Duplo
1015-1,Letters Large,1982,192,Duplo
1017-1,Letter Bricks for Wall Board,1976,150,Duplo
1019-1,Mosaic Set - Lion,1986,18,Duplo
1020-1,Basic Bricks,1985,86,Duplo
1021-1,Basic Vehicles,1985,93,Duplo
1022-1,Mini Basic Bricks,1985,30,Duplo
1023-1,Red Baseplate,1985,1,Duplo
1024-1,Animals,1985,32,Duplo
1025-1,Figures and Furniture,1985,35,Duplo
1026-1,Playhouse Boxes,1985,2,Duplo
1027-1,Vehicles,1985,32,Duplo
1028-1,6 x 12 Base Bricks,1985,6,Duplo
1040-1,Farm (with Picture Book),1991,88,Duplo
1040-2,Farm Set,1986,88,Duplo
1041-1,Harbor,1986,77,Duplo
1041-2,Universal Building Set,1980,126,Duplo
1042-1,Community People,1986,12,Duplo
1043-1,Farm Animals (and Fences),1986,30,Duplo
1044-1,Community Vehicles,1986,35,Duplo
1045-1,Industrial Elements,1986,20,Duplo
1046-1,Train Set,1985,65,Duplo
1047-1,Extra Track,1986,12,Duplo
1048-1,Bridge and Crossing Tracks,1986,15,Duplo
1071-1,Bricks 2 x 2 and 2 x 4,1986,56,Duplo
1078-1,Animal Mosaic Puzzle,1987,80,Duplo
1079-1,Animal Mosaic Puzzle,1987,80,Duplo
2000202-1,Action Wheelers Project Idea Pack,2001,0,Duplo
2000442-1,Workshop Kit Spinning Top,2015,10,Duplo
2000444-1,Workshop Kit Back-to-Back,2015,10,Duplo
2000445-1,Crossing the River,2016,16,Duplo
2000453-1,STEAM Workshop Kit,2017,15,Duplo
2000556-1,Six Bricks,2021,12,Duplo
2000713-1,Tech Machines Screwdriver Replacement Pack,2013,1,Duplo
2009119-1,Bob the Builder ACP,2001,0,Duplo
3361-1,Music Twister,2002,4,Duplo
3362-1,Music Tapper,2002,4,Duplo
3363-1,Music Roller,2002,4,Duplo
3364-1,Music Builder,2002,7,Duplo
3370-1,Music Extras,2002,6,Duplo
3371-1,Music Extras,2002,4,Duplo
4085-1,Brick Bucket Large,2002,90,Duplo
45001-1,Playground Set with Storage,2013,106,Duplo
45002-1,Tech Machines Set with Storage,2013,97,Duplo
45004-1,Cafe+ Set with Storage,2014,127,Duplo
45005-1,StoryTales Set with Storage,2014,111,Duplo
45005-2,StoryTales Set,2020,109,Duplo
45006-1,Multi Vehicles,2014,32,Duplo
45007-1,Large Farm,2014,156,Duplo
45008-1,Math Train,2015,167,Duplo
45009-1,Animal Bingo,2015,57,Duplo
45010-1,Community People Set,2015,21,Duplo
45011-1,World People Set,2015,16,Duplo
45012-1,Wild Animals Set,2015,104,Duplo
45013-1,Café+,2014,125,Duplo
45014-1,StoryTales,2014,109,Duplo
45015-1,Tech Machines,2013,95,Duplo
45016-1,Tubes Experiment Set,2013,147,Duplo
45017-1,Playground Set,2013,104,Duplo
45018-1,"Build Me ""Emotions""",2016,188,Duplo
45019-1,Creative LEGO DUPLO Brick Set,2016,160,Duplo
45021-1,Our Town,2017,280,Duplo
45024-1,STEAM Park,2017,303,Duplo
45025-1,Coding Express,2018,235,Duplo
45026-1,Tubes,2020,150,Duplo
45027-1,Letters,2020,130,Duplo
45028-1,My XL World,2020,492,Duplo
45029-1,Animals,2020,91,Duplo
45030-1,People,2020,53,Duplo
45080-1,Creative Builder Cards Set,2013,0,Duplo
5003406-1,Early Simple Machines III Homeschool Pack,2014,1,Duplo
5003465-1,Early Simple Machines III Set with Teacher's Guide,2014,1,Duplo
5003467-1,Create and Play Center Pack,2014,0,Duplo
5003472-1,Playful Learning Center Pack,2015,0,Duplo
5003473-1,Creative Builder Center Pack,2013,0,Duplo
5003474-1,Creative Builder Homeschool Pack,2014,0,Duplo
5003483-1,Duplo Playtable Creative Play Center,2015,0,Duplo
5003484-1,Explore Animals Center Pack,2014,0,Duplo
5003486-1,Early Simple Machines III Pack,2014,1,Duplo
5003489-1,Build Explore Play Pack,2014,0,Duplo
5004568-1,Community Transportation Center Pack,2015,0,Duplo
5004569-1,Playful Learning Center Pack,2015,0,Duplo
5004570-1,Creative Builder Center Pack,2015,0,Duplo
5004571-1,Create & Play Center Pack,2015,0,Duplo
5005054-1,Let's Build Social Skills Together Pack,2016,0,Duplo
5005213-1,Early Language and Literacy Pack,2016,0,Duplo
5005214-1,Introduction to Math and Literacy Pack,2016,0,Duplo
5005215-1,Early Math and Science Pack,2016,0,Duplo
5005272-1,Our Community Pack,2018,0,Duplo
5005722-1,Early Learning Bundle (Center),2018,0,Duplo
5367-1,Yellow Tub,2005,100,Duplo
9002-1,Rattles,1986,6,Duplo
9003-1,Large Stack 'n' Learn Set (Vehicles),1998,62,Duplo
9004-1,Activity Playthings,1986,0,Duplo
9005-1,Stack 'n' Learn Building Blocks,1998,80,Duplo
9006-1,Play and Build Center,1986,14,Duplo
9007-1,Stack 'n' Learn Large Set,2001,69,Duplo
9008-1,Baby Set,1986,15,Duplo
9009-1,Stack 'n' Learn Giant Set,2001,102,Duplo
9017-1,Baby Discovery Set,2003,51,Duplo
9018-1,Stack 'n' Learn Supply Set,2001,80,Duplo
9019-1,Explore Baby Stack 'n' Learn Set,2004,73,Duplo
9026-1,Preschool Building Toy,2005,95,Duplo
9027-1,Bulk Set,2007,144,Duplo
9030-1,Animates (Explore),2003,122,Duplo
9031-1,Vehicles,2003,35,Duplo
9040-1,Learning Games,2004,92,Duplo
904940-1,Workshop Kit Spinning Top (2007 Version),2007,10,Duplo
9050-1,Large Basic Set,1988,167,Duplo
9051-1,Basic Set Giant,1992,198,Duplo
9055-1,Basic Set - Animals,1991,129,Duplo
9056-1,Extra Duplo Bricks,1988,92,Duplo
9057-1,Two Pullback Motors,1992,2,Duplo
9058-1,Large Building Plates,1987,2,Duplo
9059-1,Building Plates,1997,2,Duplo
9060-1,Small Building Plates,1986,6,Duplo
9061-1,Duplo Basic Green Bucket,1994,66,Duplo
9063-1,Basic Circus,1999,305,Duplo
9064-1,Basic Town,1999,208,Duplo
9065-1,Medium Basic Set,1999,145,Duplo
9065-2,Brick Bulk Set,1999,147,Duplo
9066-1,Large Basic Set,1999,0,Duplo
9067-1,Basic Brick Runner,1999,116,Duplo
9070-1,Super Value Pack,1995,0,Duplo
9071-1,Building Plates,1998,2,Duplo
9075-1,Music Builder (Explore),2003,13,Duplo
9076-1,Tubes Experiment Set with Storage,2008,149,Duplo
9077-1,Brick Runner Set,2009,132,Duplo
9078-1,Special Elements Set,2009,109,Duplo
9079-1,Small Building Plates,2009,15,Duplo
9080-1,Basic Set Giant,1997,0,Duplo
9081-1,Large Basic Set,1997,198,Duplo
9085-1,Basic Building Bricks,1997,0,Duplo
9087-1,Tubes,2000,157,Duplo
9089-1,Tubes Experiment Set,2004,157,Duplo
9090-1,XL Bulk Set,2008,564,Duplo
9090-2,XL Bulk Set,2019,564,Duplo
9091-1,Playhouse Set,2010,125,Duplo
9101-1,Duplo Toolo Large Set,1995,86,Duplo
9102-1,Small Duplo Toolo Set,1992,30,Duplo
9103-1,Medium First Tools for Technology Set,1994,56,Duplo
9104-1,Giant First Tools for Technology,1995,85,Duplo
9105-1,Large First Tools for Technology Set,1995,65,Duplo
9106-1,Duplo Toolo Medium Set,1995,46,Duplo
9107-1,Small First Tools for Technology,1995,40,Duplo
9119-1,Bob the Builder Set,2001,109,Duplo
9120-1,Light and Sound,2000,5,Duplo
9121-1,Giant Airport,1999,97,Duplo
9122-1,Vehicles,1998,76,Duplo
9123-1,Supplementary Set,1999,56,Duplo
9124-1,Transportation Set,1999,31,Duplo
9125-1,Intelligent Train Set,2003,134,Duplo
9126-1,Dolls Medium Set,2001,28,Duplo
9127-1,Dolls Large Set,2001,76,Duplo
9128-1,Big Wheelers,1999,53,Duplo
9129-1,Little Forest Friends,1999,137,Duplo
9130-1,Around-The-House Set,2002,132,Duplo
9131-1,Theatre Set (Theater),2002,109,Duplo
9132-1,Community Transport Set,2004,49,Duplo
9133-1,Farm,1998,96,Duplo
9134-1,Life-on-the-Farm,2002,108,Duplo
9137-1,Farm Animals,1998,36,Duplo
9139-1,Push Train,1998,76,Duplo
9146-1,Rails & Switches,1998,16,Duplo
9148-1,Home,1998,89,Duplo
9149-1,Pony Stables,1998,72,Duplo
9150-1,Duplo Furniture,1986,76,Duplo
9151-1,Family,1986,10,Duplo
9152-1,House,1988,126,Duplo
9153-1,Train,1986,173,Duplo
9154-1,Bridge and Rails,1989,38,Duplo
9155-1,Circus,1988,66,Duplo
9156-1,Airport,1989,85,Duplo
9158-1,Figures,1992,18,Duplo
9159-1,Figures International,1989,18,Duplo
9160-1,Safari Park,1990,94,Duplo
9161-1,Duplo Train,1991,75,Duplo
9162-1,Ships,1992,33,Duplo
9163-1,Airport,1993,51,Duplo
9164-1,Duplo Animals for Safari Park,1993,11,Duplo
9165-1,Vehicles,1993,27,Duplo
9166-1,Battery Train,1988,66,Duplo
9167-1,Supermarket,1994,75,Duplo
9168-1,Large House,1995,182,Duplo
9169-1,Medium House,1994,72,Duplo
9170-1,Community Workers,1995,18,Duplo
9171-1,World People,1994,24,Duplo
9173-1,Duplo Farm,1997,81,Duplo
9174-1,Duplo Farm Animals,1997,23,Duplo
9175-1,Push Train,1995,113,Duplo
9176-1,Train Track Package,1996,29,Duplo
9177-1,Community Vehicles,1997,25,Duplo
9178-1,Vehicles,1997,31,Duplo
9179-1,Transportation Set,1997,41,Duplo
9180-1,Medical Center,1995,78,Duplo
9181-1,Fire and Rescue,1995,72,Duplo
9185-1,Cowboys,1998,70,Duplo
9187-1,Police Station,1997,64,Duplo
9189-1,Animal and Fun Park,1998,105,Duplo
9190-1,Zoo,1993,84,Duplo
9191-1,Animal Water Park,1996,54,Duplo
9192-1,Zoo Babies (Zoo Animals),1996,16,Duplo
9194-1,Giant Dinosaur Set,1997,129,Duplo
9195-1,Large Dinosaur Set,1997,61,Duplo
9196-1,Dinosaurs,1997,8,Duplo
9197-1,Super Value Rescue Pack,1996,0,Duplo
9198-1,Bonus Home,1996,0,Duplo
9199-2,Bonus Zoo,1996,0,Duplo
9200-1,Toolo (Action Wheelers) Large Set,2000,97,Duplo
9201-1,Toolo (Action Wheelers) Medium Set,2000,65,Duplo
9202-1,Toolo Expansion Set,2000,41,Duplo
9203-1,Remote Controlled Buggy Set,2005,21,Duplo
9203-2,Tech Machines Set,1998,122,Duplo
9206-1,Tech Machines Set,2008,120,Duplo
9207-1,Community Vehicles Set,2010,57,Duplo
9209-1,Community Services Set,2012,132,Duplo
9210-1,Wild Animals Set,2001,57,Duplo
9211-1,Community Transport,2006,59,Duplo
9212-1,Push Train Set,2006,129,Duplo
9213-1,Dinosaurs Set,2007,92,Duplo
9214-1,Wild Animals Set,2007,120,Duplo
9215-1,Dolls Family Set,2008,90,Duplo
9217-1,Farm Set,2010,150,Duplo
9218-1,Wild Animals Set,2012,98,Duplo
9220-1,Mosaic Set - Farm Scene,1988,81,Duplo
9221-1,Mosaic Set - Town Scene,1988,81,Duplo
9222-1,Duplo World People,2007,16,Duplo
9224-1,Community People,2006,20,Duplo
9225-1,Playhouse,2007,120,Duplo
9226-1,Hospital,2007,107,Duplo
9227-1,Farm,2007,104,Duplo
9228-1,Farm Animals,2007,52,Duplo
9229-1,Police Station,2007,81,Duplo
9230-1,Duplo Town Set,2004,200,Duplo
9231-1,Playhouse Set,2005,104,Duplo
9232-1,Hospital Set,2005,106,Duplo
9233-1,Farm,2005,101,Duplo
9234-1,Dolls Family Set,2005,77,Duplo
9236-1,Garden Set,2005,33,Duplo
9237-1,Garage,2005,44,Duplo
9238-1,Farm Animals,2005,43,Duplo
9239-1,Stable Set,2005,44,Duplo
9240-1,Fire Rescue Services Set,2006,135,Duplo
9412-1,Bricks,1988,88,Duplo
9505-1,Early Reading Set,1994,133,Duplo
9511-1,Medium Building Plates,1995,4,Duplo
9517-1,Measurement Activities,1995,60,Duplo
9518-1,Mosaic Set,1995,69,Duplo
9530-1,Letters Set,2008,156,Duplo
9531-1,Numbers and Mosaics Set,2008,352,Duplo
9533-1,DACTA Numbers Set,1999,168,Duplo
9534-1,Mosaic Tiles,2000,271,Duplo
9535-1,Letters,1999,140,Duplo
9536-1,White Baseplates,1999,4,Duplo
9537-1,Learning Concepts with Numbers,2001,168,Duplo
9540-1,Early Math Numbers Set,2004,115,Duplo
9541-1,Early Math Measurement Set,2004,104,Duplo
9542-1,Early Math Shape and Space Set,2004,132,Duplo
9543-1,Let's Play Maths,2005,120,Duplo
9545-1,Numbers Set,2004,164,Duplo
9546-1,Mosaics Set,2004,273,Duplo
9547-1,Letters Set,2004,146,Duplo
9652-1,Fun Time Gears,1995,27,Duplo
9653-1,Mechanical Toy Shop,1995,32,Duplo
9654-1,Early Simple Machines II,1998,113,Duplo
9655-1,Fun Time Gears II,1998,50,Duplo
9656-1,Early Simple Machines Set,2008,102,Duplo
9660-1,Early Structures,1997,126,Duplo
9660-3,Early Structures Set,2008,126,Duplo
9690-1,Education Center,2009,172,Duplo
9692-1,Tech Machines Set,2009,38,Duplo
9816-1,Numbers & Letters,1998,276,Duplo
9896-1,Two Wrenches,1998,2,Duplo
9976-1,Airport,1989,85,Duplo
9977-1,Home,1992,126,Duplo
9978-1,Home Environment,1991,77,Duplo
9979-1,People,1992,18,Duplo
9980-1,World People,1992,17,Duplo
9987-1,Basic Bucket,1991,65,Duplo
9999-1,Upgrade Kit for 9654,2008,7,Duplo
1103-2,DNA Student Set,2008,525,Learning
1512-1,Denken mit Lego (Thinking with Lego 250pcs),1972,250,Learning
1513-1,Denken mit Lego (Thinking with Lego 900pcs),1972,901,Learning
2000524-1,E-Learning: Getting Started with StoryStarter,2015,0,Learning
49901-1,Extension Assortment for LEGO Composing Set 9550,1990,121,Learning
9550-1,Typesetter's Shop (Composing Set) - English Version,1990,489,Learning
9550-2,Typesetter's Shop (Composing Set) - German Version,1990,0,Learning
9550-3,Typesetter's Shop (Composing Set) - French Version,1990,488,Learning
9742-1,Photosynthesis Student Set,2008,74,Learning
9743-1,Chromosomes - Student Set,2003,136,Learning
2000425-1,Mindstorms EV3 Workshop Kit,2013,117,Mindstorms
2000426-1,Mindstorms EV3 Element Accessory Pack,2014,108,Mindstorms
2000700-1,Mindstorms EV3 Replacement Pack 1,2015,70,Mindstorms
2000701-1,Mindstorms EV3 Replacement Pack 2,2015,32,Mindstorms
2000702-1,Mindstorms EV3 Replacement Pack 3,2015,4,Mindstorms
2000703-1,Mindstorms EV3 Replacement Pack 4,2015,32,Mindstorms
2000704-1,Mindstorms EV3 Replacement Pack 5,2015,24,Mindstorms
2000705-1,Mindstorms EV3 Replacement Pack 6,2015,30,Mindstorms
2000706-1,Mindstorms EV3 Replacement Pack 7,2015,8,Mindstorms
2005544-1,Mindstorms EV3 Design Engineering Projects,2016,0,Mindstorms
45517-1,Transformer 10V,2015,1,Mindstorms
45544-1,EV3 Core Set,2013,547,Mindstorms
45560-1,EV3 Expansion Set,2013,856,Mindstorms
45570-1,Space Challenge Set,2014,1412,Mindstorms
5003463-1,FIRST LEGO League EV3 Robot Set,2014,1,Mindstorms
5003479-1,EV3 Homeschool with Design Engineering Projects Pack,2016,2,Mindstorms
5003480-1,EV3 Homeschool Combo Pack,2013,0,Mindstorms
5003488-1,EV3 Space Challenge and Activity Pack,2014,1,Mindstorms
5005044-1,EV3 How to Start Leaflet,2016,0,Mindstorms
5005103-1,EV3 Comprehensive Solution (8 Student Pack),2017,0,Mindstorms
5005270-1,EV3 Science Add-On Pack,2017,0,Mindstorms
9594-1,Green City Challenge Set,2011,1356,Mindstorms
979760-1,Exploration Mars,2003,810,Mindstorms
5003219-1,NXT Misc Parts Pack,2013,40,NXT
5003403-1,NXT Homeschool Pack,2011,1,NXT
5003407-1,Homeschool NXT with Resource Set,2014,1,NXT
5003431-1,Green City Challenge Starter Pack with NXT & Resource Set,2014,2,NXT
5003432-1,Green City Challenge Set and Activity Combo Pack,2014,1,NXT
5003439-1,NXT Expansion Center Pack,2014,1,NXT
9648-1,Education Resource Set [NXT Supplemental Set],2006,674,NXT
9797-1,Mindstorms Education NXT Base Set,2006,442,NXT
9797-2,Mindstorms Education NXT Base Set,2013,491,NXT
9709-1,RCX Programmable Brick,1998,1,RCX
9713-1,Infrared Transmission Tower,1998,2,RCX
9725-1,ROBOLAB Amusement Park Set,1999,248,RCX
9725-2,ROBOLAB Amusement Park Set,2002,270,RCX
9725-3,ROBOLAB Amusement Park Set,2005,306,RCX
9780-1,ROBOLAB Starter Building Set,1998,1712,RCX
9783-1,Infrared Transmitter with USB Cable,2001,1,RCX
9790-1,ROBOLAB Team Challenge Set (Serial),1999,727,RCX
9793-1,ROBOLAB Team Challenge Set Version 2.5 [Serial Transmitter],2002,834,RCX
9794-1,ROBOLAB Team Challenge Set Version 2.5 [USB],2003,832,RCX
9795-1,ROBOLAB Intelligent House Building Set,2001,164,RCX
9917-1,DCP Sensor Adapter,1998,1,RCX
2000447-1,WeDo Mascot Mini Milo,2016,31,WeDo
2000715-1,WeDo 2.0 Replacement Pack,2016,109,WeDo
2045300-1,WeDo 2.0 Curriculum Pack,2016,0,WeDo
45300-1,WeDo 2.0 Core Set,2016,281,WeDo
45301-1,WeDo 2.0 Smart Hub,2016,1,WeDo
45302-1,WeDo 2.0 Smart Hub Rechargeable Battery,2016,1,WeDo
45303-1,WeDo 2.0 Medium Motor,2016,1,WeDo
45304-1,WeDo 2.0 Motion Sensor,2016,1,WeDo
45305-1,WeDo 2.0 Tilt Sensor,2016,1,WeDo
5003178-1,WeDo Miscellaneous Pack,2012,40,WeDo
5003180-1,WeDo Minifigure Pack,2012,24,WeDo
5003417-1,WeDo Homeschool Pack,2014,1,WeDo
5003420-1,WeDo Amazing Mechanisms Extension Activity Pack,2010,0,WeDo
5003421-1,WeDo Play Soccer Extension Activity Pack,2010,0,WeDo
5003422-1,WeDo Software v1.2 and Activity Pack Site License,2009,2,WeDo
5003423-1,Jr.FLL Plus Kit,2009,0,WeDo
5003426-1,WeDo Wild Animals Extension Activity Pack,2010,0,WeDo
5003427-1,WeDo Adventure Stories Extension Activity Pack,2010,0,WeDo
5003428-1,WeDo Extension Activities Bundle Pack,2010,0,WeDo
5003435-1,Jr.FLL Robotics Kit with WeDo Resource Set,2011,0,WeDo
5003440-1,WeDo Extension Activities Bundle Pack,2010,0,WeDo
5003441-1,WeDo Extension Activities Pack Bundle II,2010,0,WeDo
5003475-1,WeDo Homeschool Expansion Pack,2014,2,WeDo
5003482-1,WeDo Homeschool STEM Pack,2014,1,WeDo
5003826-1,Jr.FLL Robotics Kit,2015,0,WeDo
5004830-1,WeDo 2.0 ReadyGo 8-Student Pack,2016,0,WeDo
5004831-1,WeDo 2.0 ReadyGo 12-Student Pack,2016,0,WeDo
5004832-1,WeDo 2.0 ReadyGo 16-Student Pack,2016,0,WeDo
5004833-1,WeDo 2.0 ReadyGo 24-Student Pack,2016,0,WeDo
5004837-1,WeDo 2.0 YouCreate Package - 24 Students,2016,0,WeDo
5004838-1,WeDo 2.0 Add-On Power Pack,2016,2,WeDo
5005840-1,WeDo 2.0 Core + Add-On Homeschool Bundle,2016,0,WeDo
9580-1,WeDo Robotics Construction Set,2008,160,WeDo
9581-1,WeDo Robotics USB Hub,2008,1,WeDo
9583-1,WeDo Robotics Motion Sensor,2009,1,WeDo
9584-1,WeDo Robotics Tilt Sensor,2009,1,WeDo
9585-1,WeDo Resource Set,2011,326,WeDo
322-4,Educational Gear Set,1969,43,Samsonite
367-2,Mini Airport & Vehicles,1970,253,Samsonite
7100-1,Samsonite Large Educational Set,1963,0,Samsonite
DELMONTE1-1,Del Monte Building Kit,1971,0,Samsonite
1305-1,Wheels and Strings,1983,94,Service Packs
1323-1,Hubs and Tyres,1985,24,Service Packs
1327-1,Red/Black Plates,1985,48,Service Packs
1328-1,Red/Black Plates,1985,32,Service Packs
1338-1,Angles Swivels Turntables,1985,72,Service Packs
1340-1,Weight Bricks,1987,18,Service Packs
1341-1,Building Plates Green,1985,3,Service Packs
1344-1,Light Bricks (4.5V),1986,12,Service Packs
1347-1,Leads (4.5V) Spirals,1987,42,Service Packs
1348-1,Base Plates Grey,1987,3,Service Packs
2000707-1,Rubber Band Replacement Pack,2015,8,Service Packs
2000710-1,WeDo Replacement Pack 1,2015,32,Service Packs
2000711-1,WeDo Replacement Pack 2,2015,34,Service Packs
5003171-1,Misc Yellow Brick Pack,2014,30,Service Packs
5003172-1,Specialty Yellow Brick Pack,2014,40,Service Packs
5003174-1,Misc Red Brick Pack,2014,40,Service Packs
5003215-1,3 x 3 Plates (Red),2013,25,Service Packs
5003223-1,Large Truck Tires and Rims,2013,4,Service Packs
5003224-1,Medium Truck Tires and Rims,2013,8,Service Packs
5003225-1,StoryStarter Scenes Replacement Pack,2014,18,Service Packs
5003226-1,StoryStarter Character Replacement Pack,2014,185,Service Packs
5003227-1,StoryStarter Props Replacement Pack,2014,160,Service Packs
5003228-1,StoryStarter Details Replacement Pack,2014,256,Service Packs
5003229-1,StoryStarter Settings Replacement Pack,2014,515,Service Packs
5003230-1,StoryStarter Spinner Cards and Stickers Replacement Pack,2013,0,Service Packs
5003231-1,White and Yellow Bricks,2014,93,Service Packs
5003232-1,Bricks,2014,209,Service Packs
5003246-1,Rubber Track Elements,2015,30,Service Packs
970004-1,Yellow Band (Pack of 25),2002,25,Service Packs
970005-1,9-Volt 1 x 2 Lamp Brick (Pack of 2),2002,2,Service Packs
970008-1,1 x 2 Red Bricks (Pack of 50),2002,50,Service Packs
970009-1,1 x 2 Blue Plates (Pack of 100),2002,100,Service Packs
970021-1,Red Rover Tires and Hubs (4 tires 4 hubs),2002,8,Service Packs
970036-1,2 x 2 Angle Plate (Pack of 25),2002,25,Service Packs
970040-1,Caterpillar Hub and Tread (Set of 2 treads 4 Hubs),2002,6,Service Packs
970047-1,Large Tire and Hub (2 tires 2 hubs),2002,4,Service Packs
970098-1,Special Elements for Control Lab Set,2001,122,Service Packs
970111-1,Large Lawn Tire & Hub (4 tires 4 hubs),2002,8,Service Packs
970112-1,Small Lawn Tire & Hub (4 tires 4 hubs),2002,8,Service Packs
970113-1,Tire Pack (Set of 8),2002,8,Service Packs
970120-1,Black Bands (Pack of 50),2002,25,Service Packs
970121-1,Red Bands (Pack of 25),2002,25,Service Packs
970122-1,Small White Bands (Pack of 24),2002,24,Service Packs
970600-1,1 x 2 Plate with Slides (Pack of 100),2002,100,Service Packs
970639-1,2 x 2 Skid Plates (Pack of 50),2002,50,Service Packs
970653-1,Pole Reversing Switch,2003,1,Service Packs
970661-1,Skeleton and Ghost for Amusement Park Set,2002,70,Service Packs
970669-1,Special Elements for Simple Machines Set,2002,49,Service Packs
970670-1,Special Elements for Team Challenge Set,2002,288,Service Packs
970671-1,Special Elements for Cities and Transportation Set,2002,119,Service Packs
970672-1,Special Elements for Amusement Park Set,2002,78,Service Packs
970673-1,Special Elements for ROBO Technology Set,2002,71,Service Packs
970674-1,Car Project Set,2002,79,Service Packs
970675-1,House Project Set,2002,80,Service Packs
970676-1,Bug Project Set,2002,83,Service Packs
970677-1,Gadget Project Set,2002,48,Service Packs
970678-1,Special Elements for eLAB Renewable Energy Set,2002,315,Service Packs
970679-1,Special Elements For Mechanical Engineering Set,2004,130,Service Packs
970680-1,Special Elements for Early Simple Machines Set,2002,19,Service Packs
970683-1,Black Plates - Large Package,2002,165,Service Packs
970684-1,Wheels (Tires hubs axle plates and bricks),2002,184,Service Packs
970686-1,Roof Tiles,2002,180,Service Packs
970687-1,Team Challenge Upgrade Kit,2002,95,Service Packs
9857-1,Assortment of Plate Pieces,1992,166,Service Packs
9864-1,Building Plates Green,1992,3,Service Packs
9869-1,Building Plates (24 x 24),1992,3,Service Packs
9892-1,Brick Separators,1995,2,Service Packs
9894-1,Two Screwdrivers,1987,2,Service Packs
991118-1,3M Connecting Lead (Set of 2),2002,2,Service Packs
991331-1,Small Wide Tire & Hub (Pack of 8 each),2007,16,Service Packs
991335-1,Swivel Magnet Pack (Pack of 10 each),2007,20,Service Packs
9929-1,Plates (Red),1998,72,Service Packs
9930-1,Plates (Blue),1998,72,Service Packs
9931-1,Plates (Yellow),1998,72,Service Packs
9932-1,Plates Black,1998,72,Service Packs
9933-1,Basic Bricks (red),1999,62,Service Packs
9934-1,Basic Bricks (yellow),1999,62,Service Packs
9935-1,Basic Bricks (black),1999,62,Service Packs
9936-1,Weight Elements,1998,2,Service Packs
9940-1,Rubber Bands and String,1999,36,Service Packs
9947-1,Figures,1998,16,Service Packs
9954-1,Special Elements for Mini Sets,2001,55,Service Packs
9959-1,Special Elements for Intelligent House Building Set,2001,41,Service Packs
9962-1,Flat Tiles,1994,12,Service Packs
9972-1,Plates (Red),1994,88,Service Packs
9973-1,Plates (Blue),1994,88,Service Packs
9974-1,Plates (Yellow),1994,88,Service Packs
1314-1,Stop bush / Small pulley,1987,210,Technic
1315-1,Piston Rod,1987,50,Technic
1316-1,Connector Peg,1987,150,Technic
1317-1,TECHNIC Chainlinks,1987,350,Technic
1318-1,Gears Small,1987,68,Technic
1319-1,Gears Large,1987,22,Technic
1320-1,Differential and Bevel Gears,1987,32,Technic
1321-1,Worm Gear and Racks,1987,22,Technic
1322-1,"Pulleys, Tires, and Steering Wheels",1987,32,Technic
1324-1,Rubber Bands and String,1985,101,Technic
1325-1,Assorted Spare Axles,1987,68,Technic
1326-1,"Spare Axles, 12L",1987,28,Technic
1329-1,Red/Black Plates,1985,28,Technic
1330-1,Red/Black Plates,1985,20,Technic
